Code,Gender,Gender_Coded,Age,User_Language,Belonging1,Belonging2,Belonging3,Belonging4,Belonging5,Belonging6,Belonging7,Belonging8,Belonging9,Belonging10,Belonging11,Belonging12,Belonging13,Belonging14,Belonging15,Belonging16,Belonging17,Belonging18,Belonging19,Belonging20,TotalBelonging,AverageBelonging
UZ175C,Male,1,29,English,1,3,1,2,2,1,2,1,1,1,5,1,1,1,3,1,1,1,1,1,31,1.55
  UZ145H,Female,2,50,English,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,97,4.85
  UZ2113F,Female,2,62,English,4,3,4,2,4,4,4,4,5,4,5,4,4,5,5,5,3,5,4,5,83,4.15
 UZ115A,Female,2,54,English,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,2,24,1.2
 uz115g,Female,2,27,English,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,3,5,4,5,94,4.7
 UZ118D,Female,2,40,English,5,5,5,4,5,5,4,5,5,4,4,5,5,5,4,4,3,4,5,4,90,4.5
 UZ14H,Female,2,29,English,4,5,4,5,3,2,4,5,4,5,4,4,5,5,5,3,3,2,4,5,81,4.05
 UZ1610E,Male,1,46,English,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,1.2
 UZ168G.,Female,2,53,ENGLISH,4,4,5,5,4,4,5,4,5,5,5,5,5,5,4,5,4,3,5,5,91,4.55
 UZ1712D,Female,2,52,British,5,4,4,4,3,4,4,3,5,5,2,5,5,5,5,5,3,4,4,5,84,4.2
 UZ1712K,Male,1,22,English,1,4,1,3,2,4,3,1,3,3,1,4,3,2,4,1,1,1,3,3,48,2.4
 UZ1814P,Female,2,36,English,3,3,3,4,4,3,4,4,3,4,5,4,3,4,5,5,1,3,3,5,73,3.65
 UZ185F,Female,2,31,English,4,4,4,5,5,3,4,5,5,4,3,5,4,4,5,3,3,2,5,5,82,4.1
 UZ1915B,Female,2,37,English,4,3,3,3,1,1,3,3,3,3,5,1,4,1,5,4,4,4,3,3,61,3.05
 UZ1FI,Male,1,32,English,4,4,3,3,3,4,4,4,3,3,1,3,4,4,4,2,3,3,4,3,66,3.3
 UZ207H,Female,2,23,english,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,79,3.95
 UZ2113G,Female,2,40,"Hindi, English, Malayalam",5,4,4,4,4,5,5,4,5,4,5,5,5,4,4,4,4,4,4,5,88,4.4
 UZ2114C,Male,1,37,English,5,4,4,5,5,5,5,3,4,4,3,4,5,4,5,4,4,4,4,5,86,4.3
 UZ2310J,Female,2,44,English,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,97,4.85
 UZ314B,Female,2,34,English,3,2,4,4,4,4,4,5,5,4,3,2,5,5,5,4,2,4,4,4,77,3.85
 UZ411G,Female,2,42,english,4,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,44,2.2
 UZ913D,Female,2,44,English,4,5,5,4,4,5,5,5,4,4,5,4,4,4,5,5,5,3,4,5,89,4.45
 UZ91C,Male,1,43,Afrikaans,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,4,5,96,4.8
 UZ97C,Female,2,41,ENGLISH,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,5,4,4,5,5,95,4.75
1212A,Male,1,57,English,4,4,4,3,2,3,4,4,4,4,5,4,3,4,4,3,3,3,3,4,72,3.6
1212B,Female,2,24,English,5,4,5,4,2,5,4,4,4,4,2,4,5,4,4,5,5,4,4,5,83,4.15
1212C,Female,2,22,English,5,5,4,4,5,5,5,5,5,4,2,4,5,5,5,5,5,5,5,5,93,4.65
1212E,Male,1,24,English,4,3,3,4,4,4,4,4,5,5,5,4,3,3,5,5,5,4,4,5,83,4.15
